date,close,ema
2019-02-04,312.89,312.89
2019-02-05,321.35,317.54299999999995
2019-02-06,317.22,317.4131561461794
2019-02-07,307.51,314.1505074257426
2019-02-08,305.8,311.75330385678717
2019-02-11,312.84,312.0355563816405
2019-02-12,311.81,311.98120635448294
2019-02-13,308.17,311.1141385415957
2019-02-14,303.77,309.5163109976901
2019-02-15,307.88,309.17259378478303
2019-02-19,305.64,308.45092903883364
2019-02-20,302.56,307.2739321984713
2019-02-21,291.23,304.125001642415
2019-02-22,294.71,302.3034496949318
2019-02-25,298.77,301.627697340754
2019-02-26,297.86,300.91387506532016
2019-02-27,314.74,303.51349003735004
2019-02-28,319.88,306.5717802326528
2019-03-01,294.79,304.3812551381355
2019-03-04,285.36,300.85919588454783
2019-03-05,276.54,296.3711645452423
2019-03-06,276.24,292.6661311158779
2019-03-07,276.59,289.7139778732413
2019-03-08,284.14,288.69225308033157
2019-03-11,290.92,289.09999966746926
2019-03-12,283.36,288.0506747641053
2019-03-13,288.96,288.21674322637335
2019-03-14,289.96,288.5348534469491
2019-03-15,275.43,286.1450569473813
2019-03-18,269.49,283.1094902423717
2019-03-19,267.47,280.26028327521016
2019-03-20,273.6,279.04735011506574
2019-03-21,274.02,278.1320685934925
2019-03-22,264.53,275.65626989893167
2019-03-25,260.42,272.88356929328705
2019-03-26,267.77,271.9531513561234
2019-03-27,274.83,272.476526819394
2019-03-28,278.62,273.5940671439922
2019-03-29,279.86,274.7337825880323
2019-04-01,289.18,277.36122564907237
2019-04-02,285.88,278.91050768708294
2019-04-03,291.81,281.2563827842325
2019-04-04,267.78,278.80569300905415
2019-04-05,274.96,278.1063737530519
2019-04-08,273.2,277.21419896824455
2019-04-09,272.31,276.3224390630854
2019-04-10,276.06,276.27471904470116
2019-04-10,276.06,276.23567665787334
2019-04-10,276.06,276.27471904470116
2019-04-10,276.06,276.23567665787334
2019-04-11,268.42,274.8145682832138
2019-04-12,267.7,273.5209536203642
2019-04-15,266.38,272.2225517775616
2019-04-16,273.36,272.4293666234439
2019-04-17,271.23,272.211294720905
2019-04-18,273.26,272.4019721593825
2019-04-22,262.75,270.6470398815588
2019-04-23,263.9,269.4202892011694
2019-04-24,258.66,267.46385190106093
2019-04-25,247.63,263.8576652164828
2019-04-26,235.14,258.636233876519
2019-04-29,241.47,255.5150820237999
2019-04-30,238.69,252.45596142940715
2019-05-01,234.01,249.10213701001064
2019-05-02,244.1,248.19265461374053
2019-05-03,255.03,249.43581160820386
2019-05-06,255.34,250.50930272964712
2019-05-07,247.06,249.88215566845756
2019-05-08,244.84,248.96539876439167
2019-05-09,241.98,247.69532475649575
2019-05-10,239.52,246.20890063210945
2019-05-13,227.01,242.71818865676914
2019-05-14,232.31,240.82578949074514
2019-05-15,231.95,239.21200872623618
2019-05-16,228.33,237.23346082532944
2019-05-17,211.03,232.46919352684222
2019-05-20,205.36,227.54024781542702
2019-05-21,205.08,223.4565654225022
2019-05-22,192.73,217.86991607596818
2019-05-23,195.49,213.80083977748302
2019-05-24,190.63,209.58795926875996
2019-05-28,188.7,205.79014808756182
2019-05-29,189.86,202.8937572734359
2019-05-30,188.22,200.22580121505194
2019-05-31,185.16,197.48656447048046
2019-06-03,178.97,194.11991622402857
2019-06-04,193.6,194.02538599778129
2019-06-05,196.59,194.4916794676493
2019-06-06,205.95,196.57501052806847
2019-06-07,204.5,198.01591773564508
2019-06-10,212.88,200.71847819470577
2019-06-11,217.1,203.69693674746395
2019-06-12,209.26,204.70840280524507
2019-06-13,213.91,206.38142049307643
2019-06-14,214.92,207.93388950652675
2019-06-17,225.03,211.04227325258466
2019-06-18,224.74,213.5327690379344
2019-06-19,226.43,215.8777201320323
2019-06-20,219.62,216.5581346558754
2019-06-21,221.86,217.5221101757645
2019-06-24,223.64,218.6344537827914
2019-06-25,219.76,218.83909854995107
2019-06-26,219.27,218.91744426826537
2019-06-27,222.84,219.63063622041005
2019-06-28,223.46,220.32688418107054
2019-07-01,227.17,221.5710870583142
2019-07-02,224.55,222.11270759354895
2019-07-03,234.9,224.43766985061163
2019-07-05,233.1,226.01263896942731
2019-07-08,230.34,226.79943188438145
2019-07-09,230.06,227.3922624510453
2019-07-10,238.92,229.48821473321652
2019-07-11,238.6,231.14490296389198
2019-07-12,245.08,233.67855697089652
2019-07-15,253.5,237.28245570397223
2019-07-16,252.38,240.0274637581142
2019-07-17,254.86,242.72428852962238
2019-07-18,253.54,244.69078152438937
2019-07-19,258.18,247.1433667019291
2019-07-19,258.18,249.15002730168277
2019-07-19,258.18,247.1433667019291
2019-07-19,258.18,249.15002730168277
2019-07-22,255.68,250.33729506506373
2019-07-23,260.17,252.1250595987508
2019-07-24,264.88,254.44413967177127
2019-07-25,228.82,249.78520518588604
2019-07-26,228.04,245.83153151564952
2019-07-29,235.77,244.00216214913925
2019-07-30,242.26,243.68540539474625
2019-07-31,241.61,243.3080589593339
2019-08-01,233.85,241.5884118758039
2019-08-02,234.34,240.27051880746666
2019-08-05,228.32,238.09769720609663
2019-08-06,230.75,236.76175225952733
2019-08-07,233.42,236.15416093961096
2019-08-08,238.3,236.54431349604653
2019-08-09,235.01,236.26534740585552
2019-08-12,229.01,234.94619333206083
2019-08-13,235.0,234.9559763625952
2019-08-14,219.62,232.16761702393762
2019-08-15,215.64,229.1625957468546
2019-08-16,219.94,227.48576015651585
2019-08-19,226.83,227.36653103714926
2019-08-20,225.86,227.09261630312196
2019-08-21,220.83,225.95395879346285
2019-08-22,222.15,225.26232992192385
